OBJECTID,SSL,BLDG_NUM,SECT_NUM,STRUCT_CL,STRUCT_CL_D,GRADE,GRADE_D,EXTWALL,EXTWALL_D,WALL_HGT,NUM_UNITS,SALEDATE,PRICE,QUALIFIED,AYB,YR_RMDL,EYB,SALE_NUM,LIVING_GBA,USECODE,LANDAREA,GIS_LAST_MOD_DTTM
3783,0111    0050,1,1,C,Brick/Concr,40,Good,BR,Brick,9,6,,1285000,U,1947,,1995,1,4516,28,1466,2017-08-13T18:01:04.000Z
3784,0111    0051,1,1,C,Brick/Concr,50,Very Good,BR,Brick,9,7,,,U,1900,,1980,1,4352,28,1432,2017-08-13T18:01:04.000Z
3785,0111    0054,1,1,C,Brick/Concr,50,Very Good,BR,Brick,9,,,,U,1927,1988,2000,1,10216,59,1875,2017-08-13T18:01:04.000Z
3786,0111    0059,1,1,C,Brick/Concr,50,Very Good,BR,Brick,12,,,,U,1912,,1977,1,6688,42,2147,2017-08-13T18:01:04.000Z
3787,0111    0070,1,1,C,Brick/Concr,50,Very Good,BR,Brick,9,6,,,U,1947,1975,1932,1,3680,28,868,2017-08-13T18:01:04.000Z
3788,0111    0076,1,1,C,Brick/Concr,50,Very Good,BR,Brick,9,10,,,U,1947,,1980,1,5380,28,1805,2017-08-13T18:01:04.000Z
3789,0111    0077,1,1,C,Brick/Concr,45,Good +,BR,Brick,12,,,1700000,Q,1910,1962,2000,1,5702,42,1760,2017-08-13T18:01:04.000Z
3790,0111    0078,1,1,C,Brick/Concr,50,Very Good,BR,Brick,9,,,4000000,Q,1921,,1990,1,8916,59,2431,2017-08-13T18:01:04.000Z
3791,0111    0079,1,1,C,Brick/Concr,50,Very Good,BR,Brick,9,9,,234712,U,1919,,1995,1,7895,21,3033,2017-08-13T18:01:04.000Z
3792,0111    0081,1,1,C,Brick/Concr,50,Very Good,BR,Brick,9,5,,2600000,Q,1918,,1990,2,6008,25,2275,2017-08-13T18:01:04.000Z
3793,0111    0082,1,1,B,Reinf Concr,30,Average,0,Typical,10,,,,U,1971,,1971,1,52562,52,6528,2017-08-13T18:01:04.000Z
3794,0111    0083,1,1,C,Brick/Concr,50,Very Good,BR,Brick,12,4,,6500000,Q,1970,1993,2002,1,8380,49,3816,2017-08-13T18:01:04.000Z
3795,0127    0851,1,1,B,Reinf Concr,40,Good,C,Concrete,10,,,0,U,1964,,1968,1,132548,52,11866,2017-08-13T18:01:04.000Z
3796,0127    0853,1,1,B,Reinf Concr,40,Good,C,Concrete,10,,,0,U,1960,,1964,1,60361,52,6857,2017-08-13T18:01:04.000Z
3797,0127    0854,1,1,C,Brick/Concr,60,Excellent,C,Concrete,12,,,16550000,Q,1950,2013,1999,1,74199,32,6671,2017-08-13T18:01:04.000Z
3798,0128    0803,1,1,B,Reinf Concr,40,Good,S,Stone,8,0,,0,U,1936,,1965,1,106111,52,60637,2017-08-13T18:01:04.000Z
3799,0131    0042,1,1,C,Brick/Concr,50,Very Good,BR,Brick,10,,,0,U,1885,,2000,1,3054,46,1667,2017-08-13T18:01:04.000Z
3800,0131    0051,1,1,C,Brick/Concr,50,Very Good,BR,Brick,12,3,,277000,U,1918,2007,1971,1,2390,42,1530,2017-08-13T18:01:04.000Z
3801,0131    0062,1,1,C,Brick/Concr,50,Very Good,BR,Brick,9,,,1725000,Q,1984,,1995,1,3198,37,2344,2017-08-13T18:01:04.000Z
3802,0131    0063,1,1,C,Brick/Concr,55,Very Good +,CB,Concrete Block,12,,,,U,1921,2007,1985,1,4848,46,3334,2017-08-13T18:01:04.000Z
3803,0131    0065,1,1,C,Brick/Concr,50,Very Good,BR,Brick,12,3,,,U,1912,2008,2008,1,1384,49,1343,2017-08-13T18:01:04.000Z
3804,0131    0065,2,1,0,Default,50,Very Good,BR,Brick,13,,,,U,1990,,1990,1,0,49,1343,2017-08-13T18:01:04.000Z
3805,0131    0818,1,1,C,Brick/Concr,50,Very Good,BR,Brick,8,6,,,U,0,,1990,1,4664,21,2298,2017-08-13T18:01:04.000Z
3806,0131    2011,1,1,C,Brick/Concr,50,Very Good,BR,Brick,8,1,,,U,1940,1980,1940,1,273,216,175,2017-08-13T18:01:04.000Z
3807,0131    2012,1,1,C,Brick/Concr,50,Very Good,BR,Brick,8,1,,,U,1940,1980,1940,1,433,216,251,2017-08-13T18:01:04.000Z
3808,0131    2013,1,1,C,Brick/Concr,50,Very Good,BR,Brick,8,1,,,U,1940,1980,1940,1,466,216,265,2017-08-13T18:01:04.000Z
3809,0131    2014,1,1,C,Brick/Concr,50,Very Good,BR,Brick,8,1,,,U,1940,1980,1940,1,359,216,219,2017-08-13T18:01:04.000Z
3810,0131    2015,1,1,C,Brick/Concr,50,Very Good,BR,Brick,8,1,,,U,1940,1980,1940,1,486,216,302,2017-08-13T18:01:04.000Z
3811,0131    2016,1,1,C,Brick/Concr,50,Very Good,BR,Brick,8,1,,,U,1940,1980,1940,1,475,216,270,2017-08-13T18:01:04.000Z
3812,0131    2017,1,1,C,Brick/Concr,50,Very Good,BR,Brick,8,1,,,U,1940,1980,1940,1,359,216,231,2017-08-13T18:01:04.000Z
3813,0131    2018,1,1,C,Brick/Concr,50,Very Good,BR,Brick,8,1,,,U,1940,1980,1940,1,486,216,304,2017-08-13T18:01:04.000Z
3814,0131    2019,1,1,C,Brick/Concr,50,Very Good,BR,Brick,8,1,,,U,1940,1980,1940,1,475,216,288,2017-08-13T18:01:04.000Z
3815,0131    2102,1,1,C,Brick/Concr,50,Very Good,BR,Brick,8,0,,0,U,1981,,1981,1,495,58,337,2017-08-13T18:01:04.000Z
3816,0131    2103,1,1,C,Brick/Concr,50,Very Good,BR,Brick,8,0,,0,U,1981,,1981,1,545,58,337,2017-08-13T18:01:04.000Z
3817,0131    2104,1,1,C,Brick/Concr,50,Very Good,BR,Brick,8,0,,,U,1981,,1981,1,503,58,337,2017-08-13T18:01:04.000Z
3818,0131    2105,1,1,C,Brick/Concr,50,Very Good,BR,Brick,8,0,,,U,1981,,1981,1,545,58,205,2017-08-13T18:01:04.000Z
3819,0131    2106,1,1,C,Brick/Concr,50,Very Good,BR,Brick,8,0,,,U,1981,,1981,1,595,58,220,2017-08-13T18:01:04.000Z
3820,0131    2107,1,1,C,Brick/Concr,50,Very Good,BR,Brick,8,0,,,U,1981,,1981,1,608,58,748,2017-08-13T18:01:04.000Z
3821,0131    2116,1,1,C,Brick/Concr,50,Very Good,0,Typical,8,0,,399900,Q,0,,1985,1,1707,58,504,2017-08-13T18:01:04.000Z
3822,0131    2117,1,1,C,Brick/Concr,50,Very Good,0,Typical,8,0,,412000,U,0,,1985,1,1738,58,513,2017-08-13T18:01:04.000Z
3823,0131    2118,1,1,C,Brick/Concr,50,Very Good,BR,Brick,10,1,,512000,Q,1906,2004,1980,1,941,58,385,2017-08-13T18:01:04.000Z
3824,0131    2121,1,1,A,Struct Steel,50,Very Good,0,Typical,8,0,,0,U,1908,,1979,1,880,48,361,2017-08-13T18:01:04.000Z
3825,0131    2140,1,1,0,Default,50,Very Good,0,Typical,8,0,,268000,Q,1908,,1979,1,1205,58,385,2017-08-13T18:01:04.000Z
3826,0131    2142,1,1,C,Brick/Concr,50,Very Good,0,Typical,8,1,,470000,Q,1908,2002,2005,1,874,58,390,2017-08-13T18:01:04.000Z
3827,0131    2145,1,1,0,Default,50,Very Good,0,Typical,8,0,,457000,Q,1908,,1979,1,914,58,407,2017-08-13T18:01:04.000Z
3828,0132    0205,1,1,C,Brick/Concr,50,Very Good,BR,Brick,8,10,,2150000,Q,1885,,1995,3,6344,28,1921,2017-08-13T18:01:04.000Z
3829,0132    0217,1,1,C,Brick/Concr,50,Very Good,BR,Brick,9,5,,,U,1885,,1980,1,4453,25,1381,2017-08-13T18:01:04.000Z
3830,0132    0233,1,1,C,Brick/Concr,40,Good,BR,Brick,16,1,,3000000,Q,1977,2003,1992,4,120,165,4354,2017-08-13T18:01:04.000Z
3831,0132    0243,1,1,C,Brick/Concr,45,Good +,BR,Brick,9,,,1050000,Q,1916,,2001,3,2016,59,1457,2017-08-13T18:01:04.000Z
3832,0132    0250,1,1,C,Brick/Concr,50,Very Good,BR,Brick,12,,,,U,1895,,2000,1,5281,49,2104,2017-08-13T18:01:04.000Z
3833,0132    0807,1,1,C,Brick/Concr,50,Very Good,BR,Brick,9,3,,612910,Q,1880,,1980,1,1456,51,1375,2017-08-13T18:01:04.000Z
3834,0132    0808,1,1,C,Brick/Concr,50,Very Good,BR,Brick,9,,,189100,U,1880,,1995,1,2190,51,2000,2017-08-13T18:01:04.000Z
3835,0132    0810,1,1,C,Brick/Concr,50,Very Good,BR,Brick,9,2,,1850000,Q,1956,1982,2000,4,2892,51,1885,2017-08-13T18:01:04.000Z
3836,0132    0823,1,1,C,Brick/Concr,50,Very Good,BR,Brick,9,33,,,U,1936,2006,1971,1,22000,21,5625,2017-08-13T18:01:04.000Z
3837,0132    0824,1,1,C,Brick/Concr,50,Very Good,BR,Brick,9,32,,0,U,1929,,1985,1,22245,21,5625,2017-08-13T18:01:04.000Z
3838,0132    0825,1,1,C,Brick/Concr,50,Very Good,BR,Brick,9,18,,,U,1920,,1985,1,13730,21,3600,2017-08-13T18:01:04.000Z
3839,0132    0828,1,1,C,Brick/Concr,50,Very Good,BR,Brick,9,9,,0,U,1941,,1975,1,5671,21,3420,2017-08-13T18:01:04.000Z
3840,0132    2110,1,1,C,Brick/Concr,50,Very Good,BR,Brick,10,1,,300000,Q,1885,2011,1989,1,1034,48,296,2017-08-13T18:01:04.000Z
3841,0133    0115,1,1,C,Brick/Concr,55,Very Good +,BR,Brick,9,8,,1375000,Q,1890,1961,1985,1,5204,28,1140,2017-08-13T18:01:04.000Z
3842,0028    2452,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,,78294274,U,1985,,1985,3,702,217,114,2017-08-13T18:01:04.000Z
3843,0028    2453,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,,78294274,U,1985,,1985,3,553,217,90,2017-08-13T18:01:04.000Z
3844,0028    2454,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,,78294274,U,1985,,1985,3,618,217,84,2017-08-13T18:01:04.000Z
3845,0028    2455,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,,78294274,U,1985,,1985,3,618,217,100,2017-08-13T18:01:04.000Z
3846,0028    2456,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,,78294274,U,1985,,1985,3,618,217,100,2017-08-13T18:01:04.000Z
3847,0028    2457,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,,78294274,U,1985,,1985,3,618,217,100,2017-08-13T18:01:04.000Z
3848,0028    2458,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,,78294274,U,1985,,1985,3,618,217,100,2017-08-13T18:01:04.000Z
3849,0028    2459,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,,78294274,U,1985,,1985,3,805,217,131,2017-08-13T18:01:04.000Z
3850,0028    2460,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,,78294274,U,1985,,1985,3,618,217,100,2017-08-13T18:01:04.000Z
3851,0028    2461,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,,78294274,U,1985,,1985,3,618,217,100,2017-08-13T18:01:04.000Z
3852,0028    2462,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,,78294274,U,1985,,1985,3,618,217,100,2017-08-13T18:01:04.000Z
